,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ATL,0.007915,0.005566,0,0,0,0,0,0,0,0,0,0
LAX,0,0,0,0,0,0,0,0,0,0,0,0
ORD,0.090865,0.054864,0.01392,0.005982,0,0,0,0,0,0,0.01512,0.014215
DFW,0.005722,0.057027,0.008496,0,0,0,0,0,0,0,0,0
DEN,0.026187,0.054531,0.011588,0,0,0,0,0,0,0.006543,0.025054,0
JFK,0.005717,0.057944,0.00451,0,0,0,0,0,0,0,0,0.005606
SFO,0,0,0,0,0,0,0,0,0,0,0,0
SEA,0,0,0,0,0,0,0,0,0,0,0,0
LAS,0,0,0,0,0,0,0,0,0,0,0,0
MCO,0,0,0,0,0,0,0,0,0,0,0,0
EWR,0.020064,0.077751,0.0081,0,0,0,0,0,0,0,0.004893,0.005063
CLT,0.015733,0.020173,0.004476,0,0,0,0,0,0,0,0,0.014407
PHX,0,0,0,0,0,0,0,0,0,0,0,0
IAH,0.00197,0,0.005474,0,0,0,0,0,0,0,0,0
MIA,0,0,0,0,0,0,0,0,0,0,0,0
BOS,0.01946,0.029958,0.01115,0,0,0,0,0,0,0,0,0.011866
MSP,0.069571,0.061526,0.005654,0,0,0,0,0,0,0,0.035516,0.033535
FLL,0,0,0,0,0,0,0,0,0,0,0,0
DTW,0.071808,0.053127,0.015425,0.016851,0,0,0,0,0,0,0.018942,0.046473
PHL,0.010921,0.039999,0.015733,0,0,0,0,0,0,0,0.007463,0.005252
LGA,0.015011,0.077382,0.018555,0,0,0,0,0,0,0,0.006345,0.00454
BWI,0.017659,0.058848,0.020901,0,0,0,0,0,0,0,0,0.004577
SLC,0.016853,0.005217,0,0,0,0,0,0,0,0,0,0.004465
SAN,0,0,0,0,0,0,0,0,0,0,0,0
IAD,0.01185,0.048812,0.022727,0,0,0,0,0,0,0,0.007928,0.027447
DCA,0,0.011804,0.014946,0,0,0,0,0,0,0,0,0.004427
MDW,0,0,0,0,0,0,0,0,0,0,0,0
TPA,0,0,0,0,0,0,0,0,0,0,0,0
PDX,0.028986,0.006236,0,0,0,0,0,0,0,0,0.005898,0.043828
HNL,0,0,0,0,0,0,0,0,0,0,0,0
DAL,0.005548,0.064532,0.009935,0,0,0,0,0,0,0,0,0.006134
BNA,0.01868,0.013072,0.007173,0,0,0,0,0,0,0,0,0.005107
AUS,0.015584,0.025118,0.00418,0,0,0,0,0,0,0,0,0
STL,0.035884,0.050183,0.003638,0,0,0,0,0,0,0,0.007147,0.025689
SJC,0,0,0,0,0,0,0,0,0,0,0,0
HOU,0.00163,0,0,0,0,0,0,0,0,0,0,0
OAK,0,0,0,0,0,0,0,0,0,0,0,0
MSY,0.004808,0,0,0,0,0,0,0,0,0,0,0
RDU,0.024368,0.016689,0.003669,0,0,0,0,0,0,0,0,0.018774
SMF,0,0,0,0,0,0,0,0,0,0,0,0
MCI,0.078055,0.125698,0.005595,0,0,0,0,0,0,0,0.027179,0.047978
SNA,0,0,0,0,0,0,0,0,0,0,0,0
SAT,0.016119,0.010536,0,0,0,0,0,0,0,0,0,0
CLE,0.047685,0.07068,0.005679,0,0,0,0,0,0,0,0.016145,0.035807
RSW,0,0,0,0,0,0,0,0,0,0,0,0
IND,0.104172,0.042333,0.010631,0,0,0,0,0,0,0,0.030263,0.034407
PIT,0.064731,0.051622,0.004895,0,0,0,0,0,0,0,0.044295,0.055599
SJU,0,0,0,0,0,0,0,0,0,0,0,0
CVG,0.080856,0.46338,0.014755,0,0,0,0,0,0,0,0.069862,0.022829
CMH,0.065919,0.067375,0.016714,0,0,0,0,0,0,0,0.029654,0.02102
