,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ATL,0.162014,0.158824,0.098866,0.190794,0.10519,0.178775,0.147644,0.180365,0.084376,0.095822,0.160085,0.232042
LAX,0.102164,0.073683,0.03473,0.005968,0.010227,0.000054,0.00279,0.00017,0.012786,0.008497,0.024805,0.060638
ORD,0.05954,0.080002,0.072999,0.126342,0.190054,0.17133,0.126931,0.14595,0.088557,0.133561,0.078887,0.06949
DFW,0.063014,0.119889,0.0639,0.119961,0.190389,0.126037,0.061312,0.097391,0.098601,0.193417,0.108501,0.08822
DEN,0.019708,0.018049,0.02739,0.047559,0.09887,0.049042,0.047057,0.044091,0.023489,0.029594,0.027275,0.013773
JFK,0.102078,0.121881,0.11739,0.114654,0.128339,0.12493,0.139258,0.102322,0.104762,0.116655,0.133791,0.151939
SFO,0.130188,0.124686,0.093351,0.046035,0.01014,0.001745,0,0,0.004531,0.02204,0.071949,0.126045
SEA,0.167331,0.189298,0.155472,0.115572,0.038291,0.033383,0.010133,0.032013,0.037499,0.189392,0.223627,0.204656
LAS,0.025417,0.02098,0.004827,0.015543,0.007962,0.002725,0.009857,0.009725,0.007128,0.009889,0.003287,0.008163
MCO,0.106244,0.063979,0.062396,0.068697,0.141173,0.241708,0.258394,0.292485,0.212522,0.057945,0.065335,0.080009
EWR,0.095041,0.116661,0.109564,0.128503,0.160472,0.138164,0.149578,0.095146,0.091592,0.111164,0.146446,0.128953
CLT,0.106758,0.123997,0.09681,0.173349,0.113619,0.113969,0.113288,0.134122,0.160643,0.118523,0.148768,0.147018
PHX,0.023193,0.021479,0.008125,0.004385,0.007315,0.001439,0.024296,0.044224,0.043394,0.038707,0.008977,0.016223
IAH,0.103018,0.085649,0.112003,0.137238,0.25153,0.252516,0.124182,0.169505,0.123575,0.159926,0.079894,0.169924
MIA,0.090711,0.058466,0.056439,0.084437,0.200371,0.375066,0.26147,0.320583,0.270625,0.199105,0.122301,0.100569
BOS,0.098304,0.10666,0.101328,0.14262,0.082457,0.120914,0.101031,0.076265,0.102926,0.132505,0.14744,0.118403
MSP,0.024241,0.043957,0.041055,0.118671,0.13517,0.162729,0.14562,0.14987,0.136449,0.104613,0.070174,0.048942
FLL,0.124071,0.073951,0.059983,0.087602,0.201711,0.268498,0.155983,0.254608,0.231007,0.109277,0.116037,0.091801
DTW,0.061571,0.084277,0.087582,0.115274,0.145133,0.104577,0.083437,0.126625,0.132827,0.083604,0.092397,0.065976
PHL,0.09804,0.12511,0.114425,0.123559,0.143857,0.164093,0.12609,0.103446,0.171699,0.097913,0.133198,0.121891
LGA,0.091886,0.108476,0.09655,0.135994,0.129918,0.123426,0.1366,0.100309,0.097342,0.113174,0.142311,0.142194
BWI,0.076606,0.121466,0.101723,0.123081,0.162805,0.151618,0.235124,0.145302,0.15337,0.089394,0.123565,0.122712
SLC,0.045333,0.039238,0.080253,0.076436,0.065027,0.014871,0.01571,0.021133,0.052873,0.028823,0.034413,0.04704
SAN,0.061771,0.054118,0.026169,0.006733,0.025367,0.000385,0.009843,0.000667,0.010161,0.007492,0.021873,0.081739
IAD,0.086514,0.097534,0.104393,0.121076,0.202787,0.14241,0.193502,0.124459,0.103688,0.087485,0.116705,0.101426
DCA,0.075311,0.094658,0.088498,0.111409,0.168391,0.159703,0.194707,0.108408,0.11327,0.080575,0.105486,0.107835
MDW,0.043245,0.058995,0.06795,0.115198,0.150878,0.158148,0.118133,0.162353,0.086587,0.156224,0.073169,0.057793
TPA,0.115208,0.107605,0.057061,0.071222,0.175611,0.22204,0.2911,0.389291,0.211477,0.055633,0.046803,0.081311
PDX,0.133762,0.170569,0.146619,0.097767,0.043078,0.03711,0.013928,0.005289,0.054296,0.15904,0.154914,0.216941
